recno	ID	NameLit	SourceCat	TypeSourceCat	Sep
1	0	1636-283	Kharchenko+13	hipparcos	2.978E-4
2	0	1636-283	Kharchenko+13	position	2.978E-4
3		2MASS-GC01	Bica+18	position	
4		2MASS-GC02	Bica+18	position	
5		2MASS-GC02	Kharchenko+13	position,hipparcos	
6		ADS_12696	Bica+18	position	
7	1	ADS_16795	Bica+18	position	0.04397
8	2	AH03_J0748+26.9	Bica+18	position	0.01706
9	2	AH03_J0748+26.9	Dias+02	position	0.02773
10		AH03_J0822+36.4	Dias+02	position	
11		AH03_J0822+36.4	Kharchenko+13	position,hipparcos	
12		AH03_J1725+34.4	Dias+02	position	
13		AH03_J2011+26.7	Bica+18	position	
14		AH03_J2011+26.7	Dias+02	position	
15	158	AL_1	Bica+18	position	0.007368
16		AL_2	Bica+18	position	
17	174	AL_3	Bica+18	position	0.003838
18		AM_1	Bica+18	position	
19		AM_2	Bica+18	position	
20		AM_3	Bica+08	position_(magellanic_clouds)	
21		AM_4	Bica+18	position	
22		AM_4	Vasiliev+21	gaia_dr3	
23		AM_5	Bica+18	position	
24		ASCC_1	Dias+02	position	
25		ASCC_1	Kharchenko+13	position,hipparcos	
26		ASCC_1	Bica+18	position	
27	114	ASCC_10	Kharchenko+13	hipparcos	0.1644
28	114	ASCC_10	Cantat-Gaudin+20	gaia_dr2	0.09471
29	114	ASCC_10	Kharchenko+13	position	0.1644
30	50	ASCC_100	Kharchenko+13	position	0.02599
31	50	ASCC_100	Dias+02	position	0.03096
32	50	ASCC_100	Kharchenko+13	hipparcos	0.02599
33	50	ASCC_100	Bica+18	position	0.03096
34	51	ASCC_101	Bica+18	position	0.05648
35	51	ASCC_101	Kharchenko+13	position	0.02559
36	51	ASCC_101	Dias+02	position	0.05648
37	51	ASCC_101	Kharchenko+13	hipparcos	0.02559
38	51	ASCC_101	Cantat-Gaudin+20	gaia_dr2	0.04468
39		ASCC_102	Bica+18	position	
40		ASCC_102	Dias+02	position	
